"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id.x","transfermarkt_url","fbref_url","player_name.x.x","transfermarkt_id.y","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","status","transfermarkt_id.x.x","player_slug","home_name","dob_age.x","current","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","transfermarkt_id.y.y","player_name.x.x.x","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","explanation","nantional_team","player_name.y.y","matches_national","minutes_national","goals_national","seasons_national","total_matches_club","total_minutes_club","total_goals_club","seasons_club","clubs_club","player_name","deceased","death_date","death_age","total_matches_total","total_minutes_total","total_goals_total","position_clean","position_simple","age_current","retirement_date_clean","retirement_age","career_length"
252,"Cameron Jerome","eng ENG","FW","Stoke City",25,1986-08-14,26,8,1123,12.5,3,3,6,3,0,0,3,0,0.24,0.24,0.48,0.24,0.48,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35855,"https://www.transfermarkt.com/cameron-jerome/profil/spieler/35855","https://fbref.com/en/players/680fb5ee/Cameron-Jerome","Cameron Jerome",35855,"12/8/2007","20 years 11 months 29 days","20","Premier League","2/10/2004","18","18","Championship",18,"first scrap players","Cameron Jerome","Success",35855,"spieler","Cameron Jerome","14/08/1986",39,"Huddersfield","1,85 m","England  Grenada","Attack - Centre-Forward","right",NA,"Bolton","1/7/2024","-",NA,5,142,19,"Yes","1/7/2024",NA,4,"first scrap players transfer",35855,"Cameron Jerome",NA,"14-Aug-86",NA,185,"England eng","FW","Right","2004-2005","17 years","Cardiff City",2004,"first scrap players fbref","No",NA,NA,NA,NA,NA,681,40252,149,20,10,"Cameron Jerome","No","Not found",NA,681,40252,149,"Attack - Centre-Forward","Attack",39,2024-07-01,37,19
253,"Park Ji-sung","kr KOR","MF","QPR",31,1981-02-25,20,15,1341,14.9,0,3,3,0,0,0,1,0,0,0.2,0.2,0,0.2,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592,"https://www.transfermarkt.com/ji-sung-park/profil/spieler/4592","https://fbref.com/en/players/3de4cb30/Park-Ji-sung","Park Ji-sung",4592,"24/06/2000","19 years 03 months 30 days","19","Meiji Yasuda J1 League - Second Stage","10/3/2001","20 years 13 days","20","J2 League",19,"players corrected","Park Ji-sung","Success",4592,"spieler","Ji-sung Park","25/02/1981",44,"Seoul","1,78 m","Korea, South","Midfield - Attacking Midfield","both",NA,"QPR","1/7/2014","-",NA,7,351,68,"Yes","1/7/2014",NA,6,"players corrected transfer

",4592,"Park Ji-sung",NA,"25-Feb-81",NA,173,"Korea Republic","MF",NA,"2002-2003","21 years","PSV Eindhoven",2002,"first scrap players fbref","Yes","Park Ji-sung",51,4446,9,8,304,20057,38,12,3,"Park Ji-sung","No","Not found",NA,355,24503,47,"Midfield - Attacking Midfield","Attack",44,2014-07-01,33,14
254,"Adam Johnson","eng ENG","MF","Sunderland",25,1987-07-14,35,35,2924,32.5,5,6,11,5,0,0,3,0,0.15,0.18,0.34,0.15,0.34,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31579,"https://www.transfermarkt.com/adam-johnson/profil/spieler/31579","https://fbref.com/en/players/1ba61951/Adam-Johnson","Adam Johnson",31579,"10/9/2005","18 years 01 month 27 days","18","Premier League","17/10/2006","19","19","Championship",18,"first scrap players","Adam Johnson","Success",31579,"spieler","Adam Johnson","14/07/1987",38,"Sunderland","1,82 m","England","Attack - Right Winger","left",NA,"Sunderland","11/2/2016","-",NA,2,81,19,"Yes","11/2/2016",NA,2,"first scrap players transfer",31579,"Adam Johnson",NA,"14-Jul-87",NA,181,"England eng","MF (WM)","Left","2005-2006","18 years","Middlesbrough",2005,"first scrap players fbref","Yes","Adam Johnson",5,205,2,2,329,19739,51,12,5,"Adam Johnson","No","Not found",NA,334,19944,53,"Attack - Right Winger","Attack",38,2016-02-11,28,10
255,"Andrew Johnson","eng ENG","FW","QPR",31,1981-02-10,3,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14031,"https://www.transfermarkt.com/andrew-johnson/profil/spieler/14031","https://fbref.com/en/players/facd1b3e/Andrew-Johnson","Andrew Johnson",14031,"14/08/2004","23 years 06 months 04 days","23","Premier League","31/08/1998","17","17","",17,"first scrap players","Andrew Johnson","Success",14031,"spieler","Andy Johnson","10/2/1981",44,"Bedford","1,72 m","England","Attack - Centre-Forward","right",NA,"Crystal Palace","6/1/2015","-",NA,12,603,127,"Yes","6/1/2015",NA,6,"first scrap players transfer",14031,"Andrew Johnson",NA,"10-Feb-81",NA,170,"England eng","FW","Right","2001-2002","20 years","Birmingham City",2001,"first scrap players fbref","Yes","Andrew Johnson",5,198,0,1,345,25324,118,14,6,"Andrew Johnson","No","Not found",NA,350,25522,118,"Attack - Centre-Forward","Attack",44,2015-01-06,33,16
256,"Bradley Johnson","eng ENG","DF,MF","Norwich City",25,1987-04-28,37,37,3222,35.8,1,2,3,1,0,0,10,0,0.03,0.06,0.08,0.03,0.08,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49327,"https://www.transfermarkt.com/bradley-johnson/profil/spieler/49327","https://fbref.com/en/players/e0d9bbbe/Bradley-Johnson","Bradley Johnson",49327,"21/08/2011","24 years 03 months 24 days","24","Premier League","7/8/2010","23","23","Championship",23,"first scrap players","Bradley Johnson","Success",49327,"spieler","Bradley Johnson","28/04/1987",38,"London","1,83 m","England","Midfield - Central Midfield","left",NA,"Derby U21","1/7/2024","-",NA,2,27,5,"Yes","1/7/2024",NA,1,"first scrap players transfer",49327,"Bradley Johnson",NA,"28-Apr-87",NA,183,NA,"DF-MF (CM-DM-WM, left)","Right","2004-2005","17 years","Cambridge Utd",2004,"first scrap players fbref","No",NA,NA,NA,NA,NA,601,44750,76,20,9,"Bradley Johnson","No","Not found",NA,601,44750,76,"Midfield - Central Midfield","Midfield",38,2024-07-01,37,14
257,"Glen Johnson","eng ENG","DF","Liverpool",27,1984-08-23,36,36,3222,35.8,1,4,5,1,0,0,7,0,0.03,0.11,0.14,0.03,0.14,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3881,"https://www.transfermarkt.com/glen-johnson/profil/spieler/3881","https://fbref.com/en/players/8cceca90/Glen-Johnson","Glen Johnson",3881,"22/01/2003","18 years 04 months 30 days","18","Premier League","19/10/2002","18","18","First Division (until 03/04)",18,"first scrap players","Glen Johnson","Success",3881,"spieler","Glen Johnson","23/08/1984",41,"London","1,82 m","England","Defender - Right-Back","both",NA,"Stoke City","1/7/2018","-",NA,17,631,139,"Yes","1/7/2018",NA,9,"first scrap players transfer",3881,"Glen Johnson",NA,"23-Aug-84",NA,182,"England eng","DF (FB, right)","Both","2002-2003","17 years","Millwall",2002,"first scrap players fbref","Yes","Glen Johnson",29,2620,0,3,418,35020,15,16,6,"Glen Johnson","No","Not found",NA,447,37640,15,"Defender - Right-Back","Defender",41,2018-07-01,33,15
258,"Billy Jones","eng ENG","DF","West Brom",25,1987-03-24,27,24,2211,24.6,1,2,3,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36866,"https://www.transfermarkt.com/billy-jones/profil/spieler/36866","https://fbref.com/en/players/aa3cb1ad/Billy-Jones","Billy Jones",36866,"16/10/2011","24 years 06 months 22 days","24","Premier League","18/10/2003","16","16","First Division (until 03/04)",16,"first scrap players","Billy Jones","Success",36866,"spieler","Billy Jones","24/03/1987",38,"Shrewsbury","1,82 m","England","Defender - Right-Back","right",NA,"Rotherham","1/7/2021","-","adidas",7,234,62,"Yes","1/7/2021",NA,5,"first scrap players transfer",36866,"Billy Jones",NA,"24-Mar-87",NA,181,"England eng","DF (FB, right)","Both","2003-2004","16 years","Crewe Alexandra",2003,"first scrap players fbref","No",NA,NA,NA,NA,NA,498,41339,25,18,5,"Billy Jones","No","Not found",NA,498,41339,25,"Defender - Right-Back","Defender",38,2021-07-01,34,18
259,"Brad Jones","au AUS","GK","Liverpool",30,1982-03-19,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4042,"https://www.transfermarkt.com/brad-jones/profil/spieler/4042","https://fbref.com/en/players/ffc1c226/Brad-Jones","Brad Jones",4042,"5/10/2001","19 years 06 months 16 days","19","SSE Airtricity League Premier Division","5/8/2006","24","24","Championship",19,"first scrap players","Brad Jones","Success",4042,"spieler","Brad Jones","19/03/1982",43,"Armadale","1,94 m","Australia  England","Goalkeeper","left",NA,"Perth Glory","1/7/2023","-",NA,8,788,102,"Yes","1/7/2023",NA,6,"first scrap players transfer",4042,"Brad Jones",NA,"19-Mar-82",NA,191,"Australia","GK","Left","2002-2003","20 years","Stockport",2002,"first scrap players fbref","Yes","Brad Jones",2,76,0,4,297,26435,0,19,11,"Brad Jones","No","Not found",NA,299,26511,0,"Goalkeeper","Goalkeeper",43,2023-07-01,41,22
260,"David Jones","eng ENG","MF","Wigan Athletic",27,1984-11-04,13,8,806,9,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24634,"https://www.transfermarkt.com/david-jones/profil/spieler/24634","https://fbref.com/en/players/2f0edbe7/David-Jones","David Jones",24634,"15/01/2006","21 years 02 months 11 days","21","VriendenLoterij Eredivisie","6/8/2005","20","20","Championship",20,"first scrap players","David Jones","Success",24634,"spieler","David Jones","4/11/1984",41,"Southport","1,83 m","England  Wales","Midfield - Central Midfield","left",NA,"Wrexham","1/7/2022","-",NA,3,99,17,"Yes","1/7/2022",NA,3,"first scrap players transfer",24634,"David Jones",NA,"4-Nov-84",NA,180,"England eng","MF (CM)","Left","2005-2006","20 years","NEC Nijmegen",2005,"first scrap players fbref","No",NA,NA,NA,NA,NA,393,30128,28,16,10,"David Jones","No","Not found",NA,393,30128,28,"Midfield - Central Midfield","Midfield",41,2022-07-01,37,17
261,"Kenwyne Jones","tt TRI","FW","Stoke City",27,1984-10-05,26,10,1049,11.7,3,2,5,3,0,0,0,0,0.26,0.17,0.43,0.26,0.43,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28245,"https://www.transfermarkt.com/kenwyne-jones/profil/spieler/28245","https://fbref.com/en/players/5f3b634e/Kenwyne-Jones","Kenwyne Jones",28245,"22/01/2005","20 years 03 months 17 days","20","Premier League","19/02/2005","20","20","Championship",20,"first scrap players","Kenwyne Jones","Success",28245,"spieler","Kenwyne Jones","5/10/1984",41,"Point Fortin","1,87 m","Trinidad and Tobago","Attack - Centre-Forward","right",NA,"Kansas City","2/1/2018","-",NA,2,226,38,"Yes","2/1/2018",NA,2,"first scrap players transfer",28245,"Kenwyne Jones",NA,"5-Oct-84",NA,188,"Trinidad and Tobago","FW","Right","2004-2005","19 years","Sheffield Weds",2004,"first scrap players fbref","Yes","Kenwyne Jones",49,3747,9,5,369,23162,92,13,7,"Kenwyne Jones","No","Not found",NA,418,26909,101,"Attack - Centre-Forward","Attack",41,2018-01-02,33,13
262,"Phil Jones","eng ENG","DF,MF","Manchester Utd",20,1992-02-21,17,13,1209,13.4,0,1,1,0,0,0,4,0,0,0.07,0.07,0,0.07,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117996,"https://www.transfermarkt.com/phil-jones/profil/spieler/117996","https://fbref.com/en/players/def899bd/Phil-Jones","Phil Jones",117996,"21/03/2010","18 years 01 month 00 days","18","Premier League","No second tier career","No second tier career","No second tier career","No second tier career",18,"first scrap players","Phil Jones","Success",117996,"spieler","Phil Jones","21/02/1992",33,"Preston","1,85 m","England","Defender - Centre-Back","right",NA,"Man Utd","8/3/2024","-","adidas",23,1239,254,"Yes","8/3/2024",NA,9,"first scrap players transfer",117996,"Phil Jones",NA,"21-Feb-92",NA,185,"England eng","DF-MF (CB, left)","Right","2009-2010","17 years","Blackburn",2009,"first scrap players fbref","Yes","Phil Jones",19,1489,0,6,255,19580,5,12,2,"Phil Jones","No","Not found",NA,274,21069,5,"Defender - Centre-Back","Defender",33,2024-03-08,32,14
263,"Nigel de Jong","nl NED","MF","Manchester City",27,1984-11-30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4672,"https://www.transfermarkt.com/nigel-de-jong/profil/spieler/4672","https://fbref.com/en/players/a0e209bc/Nigel-de-Jong","Nigel de Jong",4672,"19/10/2002","17 years 10 months 19 days","17","Eredivisie","20/10/2020","35","35","",17,"first scrap players","Nigel de Jong","Success",4672,"spieler","Nigel de Jong","30/11/1984",40,"Amsterdam","1,74 m","Netherlands  Suriname","Midfield - Defensive Midfield","right",NA,"Al-Shahania SC","1/7/2021","-",NA,11,428,97,"Yes","1/7/2021",NA,7,"first scrap players transfer",4672,"Nigel de Jong",NA,"30-Nov-84",NA,174,"Netherlands","MF (DM)","Right","2002-2003","17 years","Ajax",2002,"first scrap players fbref","Yes","Nigel de Jong",47,3574,1,7,463,35761,25,17,7,"Nigel de Jong","No","Not found",NA,510,39335,26,"Midfield - Defensive Midfield","Midfield",41,2021-07-01,36,19
264,"Younès Kaboul","fr FRA","DF","Tottenham",26,1986-01-04,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27114,"https://www.transfermarkt.com/youns-kaboul/profil/spieler/27114","https://fbref.com/en/players/3680d723/Younes-Kaboul","Younès Kaboul",27114,"3/10/2004","18 years 08 months 29 days","18","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career",18,"first scrap players","Younès Kaboul","Success",27114,"spieler","Younès Kaboul","4/1/1986",39,"Saint-Julien-en-Genevois","1,92 m","France  Morocco","Defender - Centre-Back","right",NA,"Watford","1/1/2019","-",NA,12,769,143,"Yes","1/1/2019",NA,7,"first scrap players transfer",27114,"Younès Kaboul",NA,"4-Jan-86",NA,190,"France","DF (CB)","Right","2004-2005","18 years","Auxerre",2004,"first scrap players fbref","Yes","Younès Kaboul",2,180,0,1,277,22690,18,14,5,"Younès Kaboul","No","Not found",NA,279,22870,18,"Defender - Centre-Back","Defender",39,2019-01-01,32,14
265,"Alexander Kačaniklić","se SWE","FW,MF","Fulham",20,1991-08-13,20,16,1255,13.9,4,2,6,4,0,0,0,0,0.29,0.14,0.43,0.29,0.43,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51040,"https://www.transfermarkt.com/alexander-kaanikli/profil/spieler/51040","https://fbref.com/en/players/8ba3a754/Alexander-Kacaniklic","Alexander Kačaniklić",51040,"31/03/2012","20 years 07 months 18 days","20","Premier League","31/01/2012","20","20","Championship",20,"first scrap players","Alexander Kačaniklić","Success",51040,"spieler","Alexander Kacaniklic","13/08/1991",34,"Helsingborg","1,81 m","Sweden  North Macedonia","Attack - Right Winger","left",NA,"AEL Limassol","1/3/2025","-",NA,6,1131,103,"Yes","1/3/2025",NA,5,"first scrap players transfer",51040,"Alexander Kačaniklić",NA,"13-Aug-91",NA,180,"Sweden","FW-MF (WM)","Left","2011-2012","19 years","Watford",2011,"first scrap players fbref","Yes","Alexander Kačaniklić",14,1044,2,2,222,13184,30,11,7,"Alexander Kačaniklić","No","Not found",NA,236,14228,32,"Attack - Right Winger","Attack",34,2025-03-01,33,13
266,"Shinji Kagawa","jp JPN","FW,MF","Manchester Utd",23,1989-03-17,20,17,1314,14.6,6,3,9,6,0,0,1,0,0.41,0.21,0.62,0.41,0.62,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81785,"https://www.transfermarkt.com/shinji-kagawa/profil/spieler/81785","https://fbref.com/en/players/5afafbfe/Shinji-Kagawa","Shinji Kagawa",81785,"7/3/2010","20 years 11 months 18 days","20","J1 League","7/4/2007","18","18","J2 League",18,"first scrap players","Shinji Kagawa","Success",81785,"spieler","Shinji Kagawa","17/03/1989",36,"Kobe, Hyogo","1,75 m","Japan","Midfield - Attacking Midfield","right",NA,"Cerezo Osaka","1/2/2023","31/01/2026","adidas",21,547,90,"No",NA,8,9,"first scrap players transfer",81785,"Shinji Kagawa",NA,"March 17, 1989 (Age: 36-253d)","Kobe, Japan",175,"Japan","FW-MF (AM-CM)","Right","2010-2011","21 years","Dortmund",2010,"first scrap players fbref","Yes","Shinji Kagawa",67,4913,20,9,400,26010,73,16,7,"Shinji Kagawa","No","Not found",NA,467,30923,93,"Midfield - Attacking Midfield","Attack",36,NA,NA,18
267,"Kei Kamara","sl SLE","FW","Norwich City",27,1984-09-01,11,7,658,7.3,1,1,2,1,0,0,0,0,0.14,0.14,0.27,0.14,0.27,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39049,"https://www.transfermarkt.com/kei-kamara/profil/spieler/39049","https://fbref.com/en/players/6e3f3809/Kei-Kamara","Kei Kamara",39049,"1/4/2006","21 years 07 months 00 days","21","Major League Soccer","14/09/2013","29","29","Championship",21,"first scrap players","Kei Kamara","Success",39049,"spieler","Kei Kamara","1/9/1984",41,"Kenema","1,88 m","Sierra Leone  United States","Attack - Centre-Forward","right",NA,"Cincinnati","12/5/2025","31/12/2025","adidas",2,28,5,"No",NA,85,2,"first scrap players transfer",39049,"Kei Kamara",NA,"September 1, 1984 (Age: 41-085d)","Kenema, Sierra Leone",188,"Sierra Leone","FW","Right","2006","21 years","Columbus Crew",NA,"first scrap players fbref","Yes","Kei Kamara",25,1949,4,6,533,36296,163,21,16,"Kei Kamara","No","Not found",NA,558,38245,167,"Attack - Centre-Forward","Attack",41,NA,NA,20
268,"Harry Kane","eng ENG","FW","Norwich City",19,1993-07-28,3,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132098,"https://www.transfermarkt.com/harry-kane/profil/spieler/132098","https://fbref.com/en/players/21a66f6a/Harry-Kane","Harry Kane",132098,"18/08/2012","19 years 21 days","19","Premier League","3/1/2012","18","18","Championship",18,"first scrap players","Harry Kane","Success",132098,"spieler","Harry Kane","28/07/1993",32,"London","1,88 m","England  Ireland","Attack - Centre-Forward","right",NA,"Bayern Munich","12/8/2023","30/06/2027","Skechers",19,480,101,"No",NA,9,9,"first scrap players transfer",132098,"Harry Kane",NA,"July 28, 1993 (Age: 32-120d)","Walthamstow, England, United Kingdom",188,"England eng","FW","Right","2010-2011","17 years","Leyton Orient",2010,"first scrap players fbref","Yes","Harry Kane",112,8676,78,15,598,46905,397,17,6,"Harry Kane","No","Not found",NA,710,55581,475,"Attack - Centre-Forward","Attack",32,NA,NA,14
269,"Harry Kane","eng ENG","FW","Tottenham",19,1993-07-28,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132098,"https://www.transfermarkt.com/harry-kane/profil/spieler/132098","https://fbref.com/en/players/21a66f6a/Harry-Kane","Harry Kane",132098,"18/08/2012","19 years 21 days","19","Premier League","3/1/2012","18","18","Championship",18,"first scrap players","Harry Kane","Success",132098,"spieler","Harry Kane","28/07/1993",32,"London","1,88 m","England  Ireland","Attack - Centre-Forward","right",NA,"Bayern Munich","12/8/2023","30/06/2027","Skechers",19,480,101,"No",NA,9,9,"first scrap players transfer",132098,"Harry Kane",NA,"July 28, 1993 (Age: 32-120d)","Walthamstow, England, United Kingdom",188,"England eng","FW","Right","2010-2011","17 years","Leyton Orient",2010,"first scrap players fbref","Yes","Harry Kane",112,8676,78,15,598,46905,397,17,6,"Harry Kane","No","Not found",NA,710,55581,475,"Attack - Centre-Forward","Attack",32,NA,NA,14
270,"Jem Karacan","tr TUR","MF","Reading",23,1989-02-21,21,21,1595,17.7,1,1,2,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61447,"https://www.transfermarkt.com/jem-karacan/profil/spieler/61447","https://fbref.com/en/players/7027738f/Jem-Karacan","Jem Karacan",61447,"22/08/2012","23 years 06 months 01 day","23","Premier League","30/08/2008","19","19","Championship",19,"first scrap players","Jem Karacan","Success",61447,"spieler","Jem Karacan","21/02/1989",36,"Catford","1,75 m","Türkiye  England","Midfield - Central Midfield","right",NA,"Radcliffe","23/01/2023","-",NA,3,375,48,"Yes","23/01/2023",NA,3,"first scrap players transfer",61447,"Jem Karacan",NA,"21-Feb-89",NA,178,"Turkey tr  Other: England","MF (DM)","Both","2007-2008","18 years","Bournemouth",2007,"first scrap players fbref","No",NA,NA,NA,NA,NA,251,18074,15,13,8,"Jem Karacan","No","Not found",NA,251,18074,15,"Midfield - Central Midfield","Midfield",36,2023-01-23,33,14
271,"Giorgos Karagounis","gr GRE","MF","Fulham",35,1977-03-06,25,20,1538,17.1,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6106,"https://www.transfermarkt.com/georgios-karagounis/profil/spieler/6106","https://fbref.com/en/players/ed2192d0/Giorgos-Karagounis","Giorgos Karagounis",6106,"8/9/1996","19 years 06 months 02 days","19","Stoiximan Super League","No second tier career","No second tier career","No second tier career","No second tier career",19,"players corrected","Giorgos Karagounis","Success",6106,"spieler","Georgios Karagounis","6/3/1977",48,"Pyrgos","1,76 m","Greece","Midfield - Central Midfield","right",NA,"Fulham","1/7/2014","-",NA,1,14,2,"Yes","1/7/2014",NA,1,"players corrected transfer

",6106,"Giorgos Karagounis",NA,"6-Mar-77",NA,176,"Greece","MF",NA,"2000-2001","23 years","Panathinaikos",2000,"first scrap players fbref","Yes","Giorgos Karagounis",74,5471,5,7,371,23938,29,15,4,"Giorgos Karagounis","No","Not found",NA,445,29409,34,"Midfield - Central Midfield","Midfield",48,2014-07-01,37,18
272,"Pajtim Kasami","ch SUI","FW,MF","Fulham",20,1992-06-02,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130108,"https://www.transfermarkt.com/pajtim-kasami/profil/spieler/130108","https://fbref.com/en/players/fc8c588f/Pajtim-Kasami","Pajtim Kasami",130108,"28/03/2010","17 years 09 months 26 days","17","Raiffeisen Super League","6/8/2016","24","24","Championship",17,"first scrap players","Pajtim Kasami","Success",130108,"spieler","Pajtim Kasami","2/6/1992",33,"Andelfingen","1,88 m","Switzerland  North Macedonia","Midfield - Central Midfield","left",NA,"FC Winterthur","25/09/2025","30/06/2026","adidas",7,79,15,"No",NA,23,6,"first scrap players transfer",130108,"Pajtim Kasami",NA,"June 2, 1992 (Age: 33-176d)","Struga, North Macedonia",188,"Switzerland","FW-MF (AM-DM, right)","Left","2009-2010","17 years","Bellinzona",2009,"first scrap players fbref","Yes","Pajtim Kasami",11,549,1,3,408,27400,68,17,10,"Pajtim Kasami","No","Not found",NA,419,27949,69,"Midfield - Central Midfield","Midfield",33,NA,NA,16
273,"Jimmy Kébé","ml MLI","MF","Reading",28,1984-01-19,18,16,1332,14.8,5,1,6,5,0,0,1,0,0.34,0.07,0.41,0.34,0.41,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33822,"https://www.transfermarkt.com/jimmy-kb/profil/spieler/33822","https://fbref.com/en/players/ea7c7cdf/Jimmy-Kebe","Jimmy Kébé",33822,"9/2/2008","24 years 21 days","24","Premier League","28/07/2006","22","22","Ligue 2",22,"first scrap players","Jimmy Kébé","Success",33822,"spieler","Jimmy Kébé","19/01/1984",41,"Vitry-sur-Seine","1,87 m","Mali  France","Attack - Right Winger","left",NA,"Crystal Palace","23/01/2015","-",NA,2,214,23,"Yes","23/01/2015",NA,2,"first scrap players transfer",33822,"Jimmy Kébé",NA,"19-Jan-84",NA,187,"Mali","MF (AM-WM, right)",NA,"2007-2008","23 years","Reading",2007,"first scrap players fbref","No",NA,NA,NA,NA,NA,190,14098,30,7,3,"Jimmy Kébé","No","Not found",NA,190,14098,30,"Attack - Right Winger","Attack",41,2015-01-23,31,9
274,"Martin Kelly","eng ENG","DF,MF","Liverpool",22,1990-04-27,4,4,335,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78959,"https://www.transfermarkt.com/martin-kelly/profil/spieler/78959","https://fbref.com/en/players/d7492450/Martin-Kelly","Martin Kelly",78959,"15/03/2010","19 years 10 months 16 days","19","Premier League","5/10/2022","32","32","Championship",19,"first scrap players","Martin Kelly","Success",78959,"spieler","Martin Kelly","27/04/1990",35,"Whiston","1,91 m","England","Defender - Right-Back","right",NA,"West Brom","10/10/2025","-",NA,13,602,129,"Yes","10/10/2025",NA,6,"first scrap players transfer",78959,"Martin Kelly",NA,"27-Apr-90",NA,191,"England eng","DF-MF (CB-FB, right)","Right","2008-2009","18 years","Huddersfield",2008,"first scrap players fbref","No",NA,NA,NA,NA,NA,215,16727,2,16,6,"Martin Kelly","No","Not found",NA,215,16727,2,"Defender - Right-Back","Defender",35,2025-10-10,35,16
275,"Stephen Kelly","ie IRL","DF","Reading",28,1983-09-06,16,16,1422,15.8,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12125,"https://www.transfermarkt.com/stephen-kelly/profil/spieler/12125","https://fbref.com/en/players/4d7dd756/Stephen-Kelly","Stephen Kelly",12125,"28/12/2003","20 years 03 months 22 days","20","Premier League","27/09/2003","20","20","First Division (until 03/04)",20,"first scrap players","Stephen Kelly","Success",12125,"spieler","Stephen Kelly","6/9/1983",42,"Dublin","1,84 m","Ireland","Defender - Right-Back","right",NA,"Rotherham","1/7/2017","-",NA,4,61,12,"Yes","1/7/2017",NA,3,"first scrap players transfer",12125,"Stephen Kelly",NA,"6-Sep-83",NA,184,"Republic of Ireland","DF (FB, right)","Right","2002-2003","18 years","QPR",2002,"first scrap players fbref","Yes","Stephen Kelly",14,1090,0,4,292,23469,3,15,9,"Stephen Kelly","No","Not found",NA,306,24559,3,"Defender - Right-Back","Defender",42,2017-07-01,33,13
